date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2024-08-16,Le Havre,Paris Saint Germain,0.197,2.91,1,4,0.197023,2.14971,27.263157894736842,6.842105263157895
2024-08-17,Brest,Marseille,1.515,2.965,1,5,0.754656,1.44477,10.212121212121213,22.615384615384617
2024-08-17,Reims,Lille,0.076,2.317,0,2,0.0758907,2.31711,21.0,4.6571428571428575
2024-08-17,Monaco,Saint-Etienne,2.784,0.484,1,0,2.78444,0.484117,5.862068965517241,12.285714285714286
2024-08-18,Auxerre,Nice,3.032,0.581,2,1,3.03248,0.58056,21.666666666666668,8.862068965517242
2024-08-18,Montpellier,Strasbourg,1.447,1.105,1,1,0.686941,1.10476,9.766666666666667,7.333333333333333
2024-08-18,Toulouse,Nantes,1.509,0.514,0,0,1.50937,0.513845,10.043478260869565,23.636363636363637
2024-08-18,Angers,Lens,0.298,1.041,0,1,0.297792,1.04077,7.583333333333333,5.961538461538462
2024-08-18,Rennes,Lyon,2.574,2.201,3,0,2.57411,1.33962,10.041666666666666,10.526315789473685
2024-08-23,Paris Saint Germain,Montpellier,4.937,0.773,6,0,4.93703,0.772997,7.21875,20.65
2024-08-24,Lyon,Monaco,0.014,2.609,0,2,0.0144803,2.60916,7.9714285714285715,6.48
2024-08-24,Lille,Angers,1.258,0.737,2,0,1.25796,0.737042,6.666666666666667,15.80952380952381
2024-08-24,Saint-Etienne,Le Havre,1.488,2.234,0,2,1.48827,1.47353,10.25,9.538461538461538
2024-08-25,Lens,Brest,4.019,0.696,2,0,4.01926,0.695576,10.538461538461538,18.785714285714285
2024-08-25,Nice,Toulouse,1.237,0.947,1,1,1.23725,0.946618,7.269230769230769,7.048780487804878
2024-08-25,Strasbourg,Rennes,1.589,1.403,3,1,1.58875,1.40309,11.6875,9.35897435897436
2024-08-25,Nantes,Auxerre,1.525,0.876,2,0,1.52541,0.876338,16.904761904761905,10.384615384615385
2024-08-25,Marseille,Reims,2.94,1.012,2,2,2.94016,1.01201,9.35,23.444444444444443
2024-08-30,Lyon,Strasbourg,3.228,2.447,4,3,3.22754,2.44695,12.869565217391305,12.176470588235293
2024-08-31,Brest,Saint-Etienne,3.607,0.257,4,0,2.08679,0.256612,11.333333333333334,6.695652173913044
2024-08-31,Montpellier,Nantes,0.746,1.694,1,3,0.745975,0.934273,7.526315789473684,21.533333333333335
2024-08-31,Toulouse,Marseille,0.485,1.298,1,3,0.485368,1.29819,35.5,7.2272727272727275
2024-09-01,Monaco,Lens,0.906,1.913,1,1,0.905621,1.15287,4.666666666666667,8.75
2024-09-01,Le Havre,Auxerre,2.837,0.744,3,1,2.07651,0.743523,18.375,13.052631578947368
2024-09-01,Reims,Rennes,2.009,1.026,2,1,2.00948,1.02619,11.166666666666666,9.037037037037036
2024-09-01,Angers,Nice,1.332,2.534,1,4,0.571945,2.53408,7.933333333333334,10.826086956521738
2024-09-01,Lille,Paris Saint Germain,1.576,3.241,1,3,1.57562,2.48129,16.416666666666668,18.0
2024-09-13,Saint-Etienne,Lille,1.177,2.732,1,0,1.1774,2.73176,19.77777777777778,8.0
2024-09-14,Marseille,Nice,1.027,1.72,2,0,1.02694,1.72041,9.833333333333334,14.0
2024-09-14,Auxerre,Monaco,0.419,3.377,0,3,0.419427,3.37672,10.485714285714286,5.838709677419355
2024-09-14,Paris Saint Germain,Brest,2.912,1.009,3,1,2.91245,0.249183,9.2,14.923076923076923
2024-09-15,Rennes,Montpellier,1.269,0.31,3,0,1.26867,0.310262,14.166666666666666,11.173913043478262
2024-09-15,Nantes,Reims,1.433,0.549,1,2,1.43325,0.549218,17.25,26.333333333333332
2024-09-15,Toulouse,Le Havre,1.867,0.15,2,0,1.8674,0.15045,11.91304347826087,12.807692307692308
2024-09-15,Strasbourg,Angers,2.479,0.855,1,1,2.47918,0.855084,10.16,11.5
2024-09-15,Lens,Lyon,0.624,0.529,0,0,0.623644,0.529029,9.571428571428571,9.28
2024-09-20,Nice,Saint-Etienne,4.5,0.336,8,0,3.73998,0.335532,16.75,16.677419354838708
2024-09-21,Lille,Strasbourg,2.302,3.02,3,3,1.54204,3.02005,7.4,29.0
2024-09-21,Rennes,Lens,1.346,0.853,1,1,0.586263,0.853348,12.409090909090908,5.92
2024-09-21,Reims,Paris Saint Germain,0.76,1.903,1,1,0.760314,1.90277,39.81818181818182,5.6521739130434785
2024-09-22,Monaco,Le Havre,1.84,0.581,3,1,1.84023,0.580512,6.4,15.38888888888889
2024-09-22,Brest,Toulouse,0.709,2.35,2,0,0.709045,1.5904,19.285714285714285,5.228571428571429
2024-09-22,Angers,Nantes,0.825,1.286,1,1,0.0647651,1.28588,12.409090909090908,10.73076923076923
2024-09-22,Montpellier,Auxerre,1.784,1.426,3,2,1.78396,1.42586,9.136363636363637,7.387096774193548
2024-09-22,Lyon,Marseille,3.893,0.676,2,3,3.10472,0.675578,6.25,21.875
2024-09-27,Auxerre,Brest,2.95,0.726,3,0,2.1903,0.726126,13.36,6.75
2024-09-27,Paris Saint Germain,Rennes,3.224,2.026,3,1,3.22405,1.26636,11.705882352941176,14.451612903225806
2024-09-28,Lens,Nice,2.064,0.961,0,0,2.06424,0.9614,6.9,9.304347826086957
2024-09-28,Le Havre,Lille,0.489,3.571,0,3,0.488988,2.8105,21.333333333333332,9.958333333333334
2024-09-28,Monaco,Montpellier,3.457,0.769,2,1,3.45707,0.768868,3.4473684210526314,10.448275862068966
2024-09-29,Toulouse,Lyon,0.717,0.731,1,2,0.716626,0.730803,13.090909090909092,8.961538461538462
2024-09-29,Nantes,Saint-Etienne,2.616,1.024,2,2,2.61562,0.264104,12.176470588235293,20.375
2024-09-29,Angers,Reims,1.083,4.181,1,3,1.08284,4.18122,10.413793103448276,12.08
2024-09-29,Strasbourg,Marseille,1.675,0.782,1,0,1.67455,0.782395,10.628571428571428,26.375
2024-10-04,Marseille,Angers,0.897,1.194,1,1,0.896807,1.19435,4.576923076923077,36.666666666666664
2024-10-05,Saint-Etienne,Auxerre,2.451,0.72,3,1,2.45106,0.71964,10.0,9.318181818181818
2024-10-05,Lille,Toulouse,1.378,1.437,2,1,1.37754,1.43654,9.125,11.233333333333333
2024-10-05,Rennes,Monaco,0.64,0.499,1,2,0.640297,0.498715,7.068965517241379,7.9393939393939394
2024-10-06,Lyon,Nantes,2.433,0.766,2,0,2.43324,0.765938,10.045454545454545,28.0
2024-10-06,Reims,Montpellier,3.715,0.874,4,2,2.95504,0.874094,11.833333333333334,12.095238095238095
2024-10-06,Brest,Le Havre,0.89,2.119,2,0,0.890433,2.11913,6.333333333333333,9.0
2024-10-06,Strasbourg,Lens,1.311,1.43,2,2,0.551251,1.43012,13.608695652173912,8.045454545454545
2024-10-06,Nice,Paris Saint Germain,0.326,0.822,1,1,0.326466,0.822322,28.083333333333332,6.346153846153846
2024-10-18,Monaco,Lille,1.191,0.164,0,0,1.1914,0.163769,9.296296296296296,11.19047619047619
2024-10-19,Brest,Rennes,1.426,1.144,1,1,0.665637,1.14445,7.285714285714286,17.0
2024-10-19,Saint-Etienne,Lens,0.783,1.356,0,2,0.782727,1.35593,12.357142857142858,10.125
2024-10-19,Paris Saint Germain,Strasbourg,4.67,2.22,4,2,4.66981,2.22038,9.161290322580646,14.88888888888889
2024-10-20,Le Havre,Lyon,0.36,2.767,0,4,0.360268,2.76676,14.047619047619047,9.470588235294118
2024-10-20,Auxerre,Reims,2.864,1.229,2,1,2.10375,1.22872,12.625,7.5
2024-10-20,Toulouse,Angers,2.438,1.473,1,1,2.43778,0.7129,13.5,20.333333333333332
2024-10-20,Nantes,Nice,0.832,0.777,1,1,0.832336,0.776883,13.434782608695652,9.68
2024-10-20,Montpellier,Marseille,1.757,3.881,0,5,1.75684,3.88109,12.413793103448276,5.65625
2024-10-25,Rennes,Le Havre,1.842,0.272,1,0,1.84154,0.272294,8.76,21.692307692307693
2024-10-26,Angers,Saint-Etienne,3.268,1.33,4,2,2.50768,0.569909,15.363636363636363,9.88
2024-10-26,Reims,Brest,1.449,1.641,1,2,1.44911,0.880825,9.217391304347826,14.588235294117647
2024-10-26,Lens,Lille,0.865,1.476,0,2,0.865293,0.716276,4.111111111111111,12.157894736842104
2024-10-27,Lyon,Auxerre,2.212,1.061,2,2,1.45173,1.0609,8.333333333333334,15.263157894736842
2024-10-27,Montpellier,Toulouse,0.241,2.887,0,3,0.241419,2.88708,13.125,9.612903225806452
2024-10-27,Strasbourg,Nantes,1.997,0.762,3,1,1.99679,0.761926,20.4,10.06060606060606
2024-10-27,Nice,Monaco,1.794,0.797,2,1,1.79435,0.796703,7.323529411764706,6.478260869565218
2024-10-27,Marseille,Paris Saint Germain,0.278,4.042,0,3,0.277951,4.04221,38.27272727272727,6.03125
2024-11-01,Monaco,Angers,1.475,0.5,0,1,1.47525,0.50003,6.0,22.166666666666668
2024-11-01,Lille,Lyon,1.672,1.58,1,1,1.67241,1.58011,11.227272727272727,11.2
2024-11-02,Paris Saint Germain,Lens,2.769,0.803,1,0,2.76932,0.803421,7.833333333333333,11.515151515151516
2024-11-02,Brest,Nice,1.02,1.921,0,1,1.02021,1.92085,6.03030303030303,21.4
2024-11-02,Saint-Etienne,Strasbourg,2.827,0.451,2,0,2.82745,0.451174,29.61111111111111,14.823529411764707
2024-11-03,Toulouse,Reims,0.91,0.819,1,0,0.910081,0.818661,8.653846153846153,8.91304347826087
2024-11-03,Auxerre,Rennes,2.399,0.702,4,0,1.63888,0.701873,16.9,8.12
2024-11-03,Le Havre,Montpellier,1.8,0.723,1,0,1.03971,0.722691,11.695652173913043,15.4
2024-11-03,Nantes,Marseille,1.259,0.876,1,2,1.25901,0.876221,20.5,10.866666666666667
2024-11-08,Marseille,Auxerre,2.028,2.095,1,3,1.26821,2.09466,3.3125,15.772727272727273
2024-11-09,Strasbourg,Monaco,0.771,3.426,1,3,0.771173,2.66564,12.909090909090908,6.470588235294118
