date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2022-09-11,FC Cologne,Union Berlin,0.879,1.512,0,1,0.878517,0.753794,8.857142857142858,18.2
2022-09-11,Freiburg,Borussia M.Gladbach,0.991,1.379,0,0,0.991055,1.37892,12.096774193548388,13.266666666666667
2022-09-16,Mainz 05,Hertha Berlin,0.39,0.438,1,1,0.38983,0.437555,6.1923076923076925,9.541666666666666
2022-09-17,Borussia Dortmund,Schalke 04,2.535,0.097,1,0,2.5349,0.0971459,5.68,15.823529411764707
2022-09-17,Bayer Leverkusen,Werder Bremen,1.823,2.022,1,1,1.82302,2.02218,16.928571428571427,11.08695652173913
2022-09-17,Augsburg,Bayern Munich,2.209,1.821,1,0,2.20918,1.82063,11.612903225806452,5.9
2022-09-17,VfB Stuttgart,Eintracht Frankfurt,0.774,1.49,1,3,0.773751,1.49027,7.242424242424242,20.142857142857142
2022-09-17,Borussia M.Gladbach,RasenBallsport Leipzig,2.977,1.256,3,0,2.97746,1.25609,13.347826086956522,8.323529411764707
2022-09-18,Union Berlin,Wolfsburg,1.074,0.218,2,0,1.07406,0.218049,12.37037037037037,24.363636363636363
2022-09-18,Bochum,FC Cologne,0.293,1.808,1,1,0.292667,1.8077,26.5,6.809523809523809
2022-09-18,Hoffenheim,Freiburg,0.743,0.676,0,0,0.74318,0.6761,12.5,10.92
2022-09-30,Bayern Munich,Bayer Leverkusen,2.134,0.941,4,0,2.13413,0.940717,11.454545454545455,41.0
2022-10-01,RasenBallsport Leipzig,Bochum,4.215,0.147,4,0,2.69989,0.146803,11.25,31.6875
2022-10-01,Freiburg,Mainz 05,1.972,1.845,2,1,1.97161,1.84485,9.043478260869565,11.083333333333334
2022-10-01,FC Cologne,Borussia Dortmund,2.149,2.47,3,2,2.1489,2.46961,8.636363636363637,9.26086956521739
2022-10-01,Eintracht Frankfurt,Union Berlin,1.182,0.767,2,0,1.18241,0.767128,26.5,10.517241379310345
2022-10-01,Wolfsburg,VfB Stuttgart,1.754,2.349,3,2,1.75417,2.34936,9.947368421052632,13.4
