date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2024-08-23,Borussia M.Gladbach,Bayer Leverkusen,1.517,3.236,2,3,1.51665,2.30665,14.227272727272727,18.2
2024-08-24,RasenBallsport Leipzig,Bochum,0.937,1.315,1,0,0.937134,1.31541,12.916666666666666,10.758620689655173
2024-08-24,Hoffenheim,Holstein Kiel,3.737,1.972,3,2,2.97928,1.97238,12.95,12.055555555555555
2024-08-24,Freiburg,VfB Stuttgart,3.015,0.374,3,1,3.0149,0.374185,34.25,10.11111111111111
2024-08-24,Augsburg,Werder Bremen,1.316,1.543,2,2,1.31571,1.54312,14.75,10.789473684210526
2024-08-24,Mainz 05,Union Berlin,1.77,0.732,1,1,1.77023,0.731569,13.166666666666666,8.791666666666666
2024-08-24,Borussia Dortmund,Eintracht Frankfurt,1.926,1.152,2,0,1.9263,1.15188,10.055555555555555,34.90909090909091
2024-08-25,Wolfsburg,Bayern Munich,2.081,2.175,2,3,1.32348,2.17538,14.0,7.125
2024-08-25,St. Pauli,FC Heidenheim,1.161,1.168,0,2,1.1609,1.16833,7.956521739130435,13.333333333333334
2024-08-30,Union Berlin,St. Pauli,1.049,0.645,1,0,1.0488,0.644857,25.133333333333333,11.333333333333334
2024-08-31,Bochum,Borussia M.Gladbach,0.919,2.669,0,2,0.918629,2.66887,12.88888888888889,15.0
2024-08-31,Werder Bremen,Borussia Dortmund,0.279,0.918,0,0,0.278533,0.918302,18.263157894736842,12.521739130434783
2024-08-31,Holstein Kiel,Wolfsburg,0.895,1.462,0,2,0.89489,1.4619,8.0,9.5
2024-08-31,VfB Stuttgart,Mainz 05,4.213,1.952,3,3,4.2134,1.19402,9.705882352941176,13.391304347826088
2024-08-31,Eintracht Frankfurt,Hoffenheim,2.685,0.832,3,1,2.68507,0.832386,9.8,17.25
2024-08-31,Bayer Leverkusen,RasenBallsport Leipzig,3.423,1.505,2,3,3.42266,1.50532,15.0,12.391304347826088
2024-09-01,FC Heidenheim,Augsburg,3.094,0.642,4,0,2.33599,0.641534,13.130434782608695,7.619047619047619
2024-09-01,Bayern Munich,Freiburg,1.628,0.971,2,0,0.87019,0.213115,9.35,18.0
2024-09-13,Borussia Dortmund,FC Heidenheim,2.841,1.614,4,2,2.08289,0.856287,9.904761904761905,15.409090909090908
2024-09-14,Hoffenheim,Bayer Leverkusen,1.064,3.418,1,4,1.06356,2.66052,23.285714285714285,10.631578947368421
2024-09-14,Freiburg,Bochum,3.956,1.107,2,1,3.95617,1.10732,9.85,10.04
2024-09-14,RasenBallsport Leipzig,Union Berlin,1.295,0.859,0,0,0.536839,0.859112,8.727272727272727,28.352941176470587
2024-09-14,Wolfsburg,Eintracht Frankfurt,1.232,2.869,1,2,1.23249,2.11081,9.26086956521739,14.0
