date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-08-21,Verona,Sassuolo,2.252,1.867,2,3
2021-08-21,Inter,Genoa,2.207,0.967,4,0
2021-08-21,Torino,Atalanta,0.865,1.013,1,2
2021-08-21,Empoli,Lazio,1.134,1.782,1,3
2021-08-22,Bologna,Salernitana,1.726,1.637,3,2
2021-08-22,Udinese,Juventus,2.086,1.494,2,2
2021-08-22,Napoli,Venezia,2.392,0.61,2,0
2021-08-22,Roma,Fiorentina,2.754,0.867,3,1
2021-08-23,Cagliari,Spezia,3.289,1.031,2,2
2021-08-23,Sampdoria,AC Milan,1.248,0.804,0,1
2021-08-27,Udinese,Venezia,3.018,0.909,3,0
2021-08-27,Verona,Inter,0.604,1.837,1,3
2021-08-28,Lazio,Spezia,2.717,0.735,6,1
2021-08-28,Atalanta,Bologna,0.989,0.42,0,0
2021-08-28,Fiorentina,Torino,0.54,0.294,2,1
2021-08-28,Juventus,Empoli,1.816,1.103,0,1
2021-08-29,Sassuolo,Sampdoria,1.228,0.577,0,0
2021-08-29,Genoa,Napoli,0.339,1.154,1,2
2021-08-29,AC Milan,Cagliari,2.672,0.407,4,1
2021-08-29,Salernitana,Roma,0.221,1.887,0,4
2021-09-11,Empoli,Venezia,1.885,2.431,1,2
2021-09-11,Napoli,Juventus,2.187,1.561,2,1
2021-09-11,Atalanta,Fiorentina,2.115,1.815,1,2
2021-09-12,Sampdoria,Inter,1.466,0.965,2,2
2021-09-12,Cagliari,Genoa,1.831,1.255,2,3
2021-09-12,Spezia,Udinese,0.788,0.781,0,1
2021-09-12,Torino,Salernitana,2.997,0.252,4,0
2021-09-12,AC Milan,Lazio,3.478,0.247,2,0
2021-09-12,Roma,Sassuolo,2.327,2.1,2,1
2021-09-13,Bologna,Verona,1.255,0.315,1,0
2021-09-17,Sassuolo,Torino,0.796,2.485,0,1
2021-09-18,Genoa,Fiorentina,1.284,1.124,1,2
2021-09-18,Inter,Bologna,4.28,0.856,6,1
2021-09-18,Salernitana,Atalanta,0.792,1.383,0,1
2021-09-19,Empoli,Sampdoria,0.927,1.349,0,3
2021-09-19,Venezia,Spezia,0.806,0.478,1,2
2021-09-19,Verona,Roma,1.021,0.662,3,2
2021-09-19,Lazio,Cagliari,1.726,1.916,2,2
2021-09-19,Juventus,AC Milan,1.315,1.049,1,1
2021-09-20,Udinese,Napoli,0.243,3.303,0,4
2021-09-21,Bologna,Genoa,2.288,1.699,2,2
2021-09-21,Atalanta,Sassuolo,2.108,0.911,2,1
2021-09-21,Fiorentina,Inter,1.733,2.737,1,3
2021-09-22,Salernitana,Verona,2.689,2.062,2,2
2021-09-22,Spezia,Juventus,1.034,2.546,2,3
2021-09-22,Cagliari,Empoli,0.755,1.145,0,2
2021-09-22,AC Milan,Venezia,2.114,0.581,2,0
2021-09-23,Sampdoria,Napoli,0.569,2.106,0,4
