date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2023-08-18,Werder Bremen,Bayern Munich,0.64,2.897,0,4
2023-08-19,Bayer Leverkusen,RasenBallsport Leipzig,1.733,1.604,3,2
2023-08-19,Wolfsburg,FC Heidenheim,3.214,1.178,2,0
2023-08-19,Hoffenheim,Freiburg,1.672,3.248,1,2
2023-08-19,Augsburg,Borussia M.Gladbach,2.535,1.918,4,4
2023-08-19,VfB Stuttgart,Bochum,3.987,0.669,5,0
2023-08-19,Borussia Dortmund,FC Cologne,1.723,1.514,1,0
2023-08-20,Union Berlin,Mainz 05,2.113,2.52,4,1
2023-08-20,Eintracht Frankfurt,Darmstadt,1.24,0.813,1,0
2023-08-25,RasenBallsport Leipzig,VfB Stuttgart,2.093,1.183,5,1
2023-08-26,Freiburg,Werder Bremen,1.719,0.697,1,0
2023-08-26,FC Cologne,Wolfsburg,0.643,2.27,1,2
2023-08-26,Bochum,Borussia Dortmund,1.012,1.172,1,1
2023-08-26,FC Heidenheim,Hoffenheim,2.73,2.758,2,3
2023-08-26,Darmstadt,Union Berlin,2.6,1.638,1,4
2023-08-26,Borussia M.Gladbach,Bayer Leverkusen,1.764,3.653,0,3
2023-08-27,Mainz 05,Eintracht Frankfurt,1.442,1.157,1,1
2023-08-27,Bayern Munich,Augsburg,2.823,0.726,3,1
2023-09-01,Borussia Dortmund,FC Heidenheim,2.748,2.095,2,2
2023-09-02,Bayer Leverkusen,Darmstadt,3.426,0.682,5,1
2023-09-02,Hoffenheim,Wolfsburg,1.787,1.415,3,1
2023-09-02,Werder Bremen,Mainz 05,3.013,0.658,4,0
2023-09-02,Augsburg,Bochum,1.881,1.865,2,2
2023-09-02,VfB Stuttgart,Freiburg,2.096,1.504,5,0
2023-09-02,Borussia M.Gladbach,Bayern Munich,0.201,2.149,1,2
2023-09-03,Eintracht Frankfurt,FC Cologne,1.282,0.931,1,1
2023-09-03,Union Berlin,RasenBallsport Leipzig,0.178,1.214,0,3
2023-09-15,Bayern Munich,Bayer Leverkusen,2.744,2.458,2,2
2023-09-16,RasenBallsport Leipzig,Augsburg,1.463,1.34,3,0
2023-09-16,Freiburg,Borussia Dortmund,1.147,3.373,2,4
2023-09-16,Wolfsburg,Union Berlin,0.567,1.569,2,1
2023-09-16,Mainz 05,VfB Stuttgart,1.165,2.064,1,3
2023-09-16,FC Cologne,Hoffenheim,1.194,1.07,1,3
2023-09-16,Bochum,Eintracht Frankfurt,2.173,0.738,1,1
2023-09-17,FC Heidenheim,Werder Bremen,1.962,2.56,4,2
2023-09-17,Darmstadt,Borussia M.Gladbach,1.328,3.493,3,3
2023-09-22,VfB Stuttgart,Darmstadt,3.049,0.272,3,1
2023-09-23,Augsburg,Mainz 05,1.047,0.487,2,1
2023-09-23,Borussia M.Gladbach,RasenBallsport Leipzig,0.772,1.037,0,1
2023-09-23,Bayern Munich,Bochum,6.026,0.089,7,0
2023-09-23,Borussia Dortmund,Wolfsburg,2.165,0.343,1,0
2023-09-23,Union Berlin,Hoffenheim,1.624,2.154,0,2
2023-09-23,Werder Bremen,FC Cologne,1.6,1.99,2,1
2023-09-24,Bayer Leverkusen,FC Heidenheim,3.974,0.66,4,1
2023-09-24,Eintracht Frankfurt,Freiburg,0.754,0.407,0,0
2023-09-29,Hoffenheim,Borussia Dortmund,1.851,1.694,1,3
2023-09-30,Bochum,Borussia M.Gladbach,1.465,2.868,1,3
2023-09-30,FC Heidenheim,Union Berlin,0.543,2.161,1,0
2023-09-30,Wolfsburg,Eintracht Frankfurt,2.777,1.092,2,0
2023-09-30,Mainz 05,Bayer Leverkusen,0.389,0.812,0,3
2023-09-30,FC Cologne,VfB Stuttgart,0.803,2.067,0,2
2023-09-30,RasenBallsport Leipzig,Bayern Munich,0.793,1.951,2,2
2023-10-01,Darmstadt,Werder Bremen,2.349,1.546,4,2
2023-10-01,Freiburg,Augsburg,1.272,1.001,2,0
2023-10-06,Borussia M.Gladbach,Mainz 05,3.015,1.213,2,2
2023-10-07,Borussia Dortmund,Union Berlin,1.769,1.524,4,2
2023-10-07,RasenBallsport Leipzig,Bochum,2.226,0.741,0,0
2023-10-07,Augsburg,Darmstadt,1.185,1.962,1,2
2023-10-07,VfB Stuttgart,Wolfsburg,3.026,1.064,3,1
2023-10-07,Werder Bremen,Hoffenheim,1.031,1.528,2,3
2023-10-08,Bayer Leverkusen,FC Cologne,3.725,1.419,3,0
