date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-11-06,Brentford,Norwich,2.792,1.158,1,2
2021-11-06,Chelsea,Burnley,3.006,0.674,1,1
2021-11-06,Crystal Palace,Wolverhampton Wanderers,2.652,0.254,2,0
2021-11-06,Brighton,Newcastle United,1.431,0.227,1,1
2021-11-07,Arsenal,Watford,1.492,0.492,1,0
2021-11-07,Everton,Tottenham,0.598,0.802,0,0
2021-11-07,Leeds,Leicester,1.966,0.795,1,1
2021-11-07,West Ham,Liverpool,1.253,1.456,3,2
2021-11-20,Leicester,Chelsea,0.5,2.572,0,3
2021-11-20,Aston Villa,Brighton,1.069,0.583,2,0
2021-11-20,Burnley,Crystal Palace,1.042,1.748,3,3
2021-11-20,Newcastle United,Brentford,2.184,1.233,3,3
2021-11-20,Norwich,Southampton,0.438,1.131,2,1
2021-11-20,Watford,Manchester United,2.734,1.668,4,1
2021-11-20,Wolverhampton Wanderers,West Ham,1.319,0.436,1,0
2021-11-20,Liverpool,Arsenal,3.974,0.268,4,0
2021-11-21,Manchester City,Everton,2.613,0.267,3,0
2021-11-21,Tottenham,Leeds,2.317,1.467,2,1
2021-11-27,Arsenal,Newcastle United,2.845,0.185,2,0
2021-11-27,Crystal Palace,Aston Villa,0.962,0.454,1,2
2021-11-27,Liverpool,Southampton,3.073,0.966,4,0
2021-11-27,Norwich,Wolverhampton Wanderers,1.405,0.297,0,0
2021-11-27,Brighton,Leeds,1.905,0.865,0,0
2021-11-28,Brentford,Everton,1.198,0.968,1,0
2021-11-28,Leicester,Watford,2.16,2.384,4,2
2021-11-28,Manchester City,West Ham,2.722,0.172,2,1
2021-11-28,Chelsea,Manchester United,2.345,0.563,1,1
2021-11-30,Newcastle United,Norwich,1.156,1.511,1,1
2021-11-30,Leeds,Crystal Palace,1.982,0.707,1,0
2021-12-01,Watford,Chelsea,0.991,0.909,1,2
2021-12-01,West Ham,Brighton,1.147,1.261,1,1
2021-12-01,Wolverhampton Wanderers,Burnley,0.712,0.196,0,0
2021-12-01,Southampton,Leicester,1.912,1.44,2,2
2021-12-01,Aston Villa,Manchester City,0.772,1.019,1,2
2021-12-01,Everton,Liverpool,0.512,2.861,1,4
2021-12-02,Tottenham,Brentford,2.072,0.225,2,0
2021-12-02,Manchester United,Arsenal,1.856,1.166,3,2
2021-12-04,West Ham,Chelsea,2.017,1.37,3,2
2021-12-04,Newcastle United,Burnley,1.706,0.605,1,0
2021-12-04,Southampton,Brighton,1.342,1.487,1,1
2021-12-04,Wolverhampton Wanderers,Liverpool,0.095,2.423,0,1
2021-12-04,Watford,Manchester City,0.675,4.032,1,3
2021-12-05,Leeds,Brentford,1.419,1.2,2,2
2021-12-05,Manchester United,Crystal Palace,0.87,0.521,1,0
2021-12-05,Tottenham,Norwich,2.007,1.066,3,0
2021-12-05,Aston Villa,Leicester,1.848,0.983,2,1
2021-12-06,Everton,Arsenal,1.061,1.057,2,1
2021-12-10,Brentford,Watford,1.828,0.562,2,1
2021-12-11,Manchester City,Wolverhampton Wanderers,2.999,0.076,1,0
2021-12-11,Arsenal,Southampton,2.084,0.502,3,0
2021-12-11,Chelsea,Leeds,2.748,1.729,3,2
2021-12-11,Liverpool,Aston Villa,2.712,0.141,1,0
2021-12-11,Norwich,Manchester United,0.986,2.098,0,1
2021-12-12,Burnley,West Ham,0.548,0.999,0,0
2021-12-12,Leicester,Newcastle United,2.058,0.512,4,0
2021-12-12,Crystal Palace,Everton,2.099,1.276,3,1
2021-12-14,Norwich,Aston Villa,0.503,1.963,0,2
2021-12-14,Manchester City,Leeds,3.313,0.227,7,0
2021-12-15,Brighton,Wolverhampton Wanderers,1.201,1.117,0,1
2021-12-15,Crystal Palace,Southampton,1.492,0.625,2,2
2021-12-15,Arsenal,West Ham,2.815,0.339,2,0
2021-12-16,Chelsea,Everton,3.202,0.628,1,1
2021-12-16,Liverpool,Newcastle United,2.939,0.206,3,1
2021-12-18,Leeds,Arsenal,1.314,3.69,1,4
2021-12-19,Wolverhampton Wanderers,Chelsea,0.321,0.794,0,0
2021-12-19,Newcastle United,Manchester City,0.174,3.647,0,4
2021-12-19,Tottenham,Liverpool,2.798,1.549,2,2
2021-12-26,Manchester City,Leicester,3.829,2.434,6,3
2021-12-26,Norwich,Arsenal,0.154,2.875,0,5
2021-12-26,Tottenham,Crystal Palace,2.821,0.178,3,0
2021-12-26,West Ham,Southampton,1.537,1.356,2,3
2021-12-26,Aston Villa,Chelsea,0.474,2.829,1,3
2021-12-26,Brighton,Brentford,0.943,1.103,2,0
2021-12-27,Newcastle United,Manchester United,1.266,1.756,1,1
2021-12-28,Watford,West Ham,1.014,2.841,1,4
2021-12-28,Crystal Palace,Norwich,2.39,0.594,3,0
2021-12-28,Southampton,Tottenham,0.353,2.809,1,1
2021-12-28,Leicester,Liverpool,0.616,2.727,1,0
2021-12-29,Chelsea,Brighton,0.763,0.787,1,1
2021-12-29,Brentford,Manchester City,0.239,1.018,0,1
2021-12-30,Manchester United,Burnley,1.808,0.872,3,1
2022-01-01,Arsenal,Manchester City,0.837,1.946,1,2
2022-01-01,Watford,Tottenham,0.304,1.938,0,1
2022-01-01,Crystal Palace,West Ham,2.692,2.231,2,3
2022-01-02,Brentford,Aston Villa,0.501,1.138,2,1
2022-01-02,Everton,Brighton,1.827,1.484,2,3
2022-01-02,Leeds,Burnley,2.042,0.96,3,1
2022-01-02,Chelsea,Liverpool,1.389,1.789,2,2
