date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-10-30,Borussia Dortmund,FC Cologne,1.758,1.202,2,0
2021-10-30,Eintracht Frankfurt,RasenBallsport Leipzig,0.594,3.992,1,1
2021-10-31,Augsburg,VfB Stuttgart,2.596,0.909,4,1
2021-10-31,Borussia M.Gladbach,Bochum,1.817,1.08,2,1
2021-11-05,Mainz 05,Borussia M.Gladbach,0.949,1.508,1,1
2021-11-06,Bochum,Hoffenheim,2.124,0.642,2,0
2021-11-06,VfB Stuttgart,Arminia Bielefeld,1.112,1.551,0,1
2021-11-06,Wolfsburg,Augsburg,0.91,0.867,1,0
2021-11-06,Bayern Munich,Freiburg,3.168,0.911,2,1
2021-11-06,RasenBallsport Leipzig,Borussia Dortmund,2.488,0.735,2,1
2021-11-07,Hertha Berlin,Bayer Leverkusen,0.903,0.774,1,1
2021-11-07,FC Cologne,Union Berlin,1.933,1.13,2,2
2021-11-07,Greuther Fuerth,Eintracht Frankfurt,2.434,1.266,1,2
2021-11-19,Augsburg,Bayern Munich,0.614,1.243,2,1
2021-11-20,Arminia Bielefeld,Wolfsburg,1.406,1.357,2,2
2021-11-20,Hoffenheim,RasenBallsport Leipzig,2.889,0.211,2,0
2021-11-20,Borussia M.Gladbach,Greuther Fuerth,2.474,0.308,4,0
2021-11-20,Bayer Leverkusen,Bochum,1.626,0.709,1,0
2021-11-20,Borussia Dortmund,VfB Stuttgart,1.992,1.541,2,1
2021-11-20,Union Berlin,Hertha Berlin,1.891,0.211,2,0
2021-11-21,Freiburg,Eintracht Frankfurt,1.567,1.243,0,2
2021-11-21,Mainz 05,FC Cologne,0.941,1.756,1,1
2021-11-26,VfB Stuttgart,Mainz 05,0.277,1.177,2,1
2021-11-27,Greuther Fuerth,Hoffenheim,1.365,3.017,3,6
2021-11-27,Bochum,Freiburg,0.956,2.121,2,1
2021-11-27,FC Cologne,Borussia M.Gladbach,1.487,1.303,4,1
2021-11-27,Hertha Berlin,Augsburg,1.927,1.613,1,1
2021-11-27,Wolfsburg,Borussia Dortmund,2.171,2.351,1,3
2021-11-27,Bayern Munich,Arminia Bielefeld,2.677,0.385,1,0
2021-11-28,Eintracht Frankfurt,Union Berlin,1.697,1.074,2,1
2021-11-28,RasenBallsport Leipzig,Bayer Leverkusen,1.432,1.236,1,3
2021-12-03,Union Berlin,RasenBallsport Leipzig,3.765,1.144,2,1
2021-12-04,Arminia Bielefeld,FC Cologne,1.017,1.187,1,1
2021-12-04,Augsburg,Bochum,2.866,2.045,2,3
2021-12-04,Mainz 05,Wolfsburg,1.412,0.76,3,0
2021-12-04,Hoffenheim,Eintracht Frankfurt,0.925,1.579,3,2
2021-12-04,Bayer Leverkusen,Greuther Fuerth,2.432,0.28,7,1
2021-12-04,Borussia Dortmund,Bayern Munich,1.431,2.421,2,3
2021-12-05,VfB Stuttgart,Hertha Berlin,0.922,1.258,2,2
