date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2023-08-12,Marseille,Reims,1.513,0.993,2,1
2023-08-12,Nice,Lille,1.121,1.534,1,1
2023-08-12,Brest,Lens,2.919,0.96,3,2
2023-08-12,Paris Saint Germain,Lorient,1.362,0.136,0,0
2023-08-13,Nantes,Toulouse,1.07,2.06,1,2
2023-08-13,Clermont Foot,Monaco,1.98,3.404,2,4
2023-08-13,Montpellier,Le Havre,1.298,1.25,2,2
2023-08-13,Rennes,Metz,4.68,0.562,5,1
2023-08-13,Strasbourg,Lyon,1.162,2.054,2,1
2023-08-18,Metz,Marseille,0.361,1.493,2,2
2023-08-19,Lyon,Montpellier,0.642,1.918,1,4
2023-08-19,Toulouse,Paris Saint Germain,1.16,2.004,1,1
2023-08-20,Lille,Nantes,3.239,1.272,2,0
2023-08-20,Lorient,Nice,0.751,2.426,1,1
2023-08-20,Reims,Clermont Foot,2.415,0.4,2,0
2023-08-20,Le Havre,Brest,0.867,1.605,1,2
2023-08-20,Monaco,Strasbourg,1.309,0.553,3,0
2023-08-20,Lens,Rennes,1.345,1.626,1,1
2023-08-25,Nantes,Monaco,0.907,4.958,3,3
2023-08-26,Marseille,Brest,3.509,1.728,2,0
2023-08-26,Paris Saint Germain,Lens,1.867,0.487,3,1
2023-08-27,Rennes,Le Havre,3.497,0.415,2,2
2023-08-27,Strasbourg,Toulouse,2.85,0.309,2,0
2023-08-27,Clermont Foot,Metz,0.541,0.791,0,1
2023-08-27,Montpellier,Reims,1.422,1.85,1,3
2023-08-27,Lorient,Lille,1.745,1.451,4,1
2023-08-27,Nice,Lyon,1.823,0.255,0,0
2023-09-01,Nantes,Marseille,0.622,2.779,1,1
2023-09-02,Brest,Rennes,1.585,0.248,0,0
2023-09-02,Monaco,Lens,1.249,0.612,3,0
2023-09-03,Toulouse,Clermont Foot,0.641,1.404,2,2
2023-09-03,Lille,Montpellier,1.339,0.793,1,0
2023-09-03,Le Havre,Lorient,1.7,0.676,3,0
2023-09-03,Metz,Reims,1.148,0.859,2,2
2023-09-03,Nice,Strasbourg,2.288,0.159,2,0
2023-09-03,Lyon,Paris Saint Germain,2.443,4.919,1,4
2023-09-15,Paris Saint Germain,Nice,1.219,1.95,2,3
2023-09-16,Rennes,Lille,0.428,1.609,2,2
2023-09-16,Lens,Metz,1.612,0.63,0,1
2023-09-17,Lorient,Monaco,0.661,1.541,2,2
2023-09-17,Strasbourg,Montpellier,2.272,1.036,2,2
2023-09-17,Clermont Foot,Nantes,1.264,0.866,0,1
2023-09-17,Reims,Brest,1.974,1.561,1,2
2023-09-17,Marseille,Toulouse,1.169,0.882,0,0
2023-09-17,Lyon,Le Havre,1.833,1.252,0,0
2023-09-22,Monaco,Nice,1.801,1.101,0,1
2023-09-23,Nantes,Lorient,2.529,1.597,5,3
2023-09-23,Brest,Lyon,2.545,0.254,1,0
2023-09-24,Metz,Strasbourg,1.038,0.456,0,1
2023-09-24,Lens,Toulouse,3.088,0.649,2,1
2023-09-24,Le Havre,Clermont Foot,1.017,0.716,2,1
2023-09-24,Montpellier,Rennes,1.382,0.934,0,0
2023-09-24,Paris Saint Germain,Marseille,2.002,0.569,4,0
2023-09-26,Lille,Reims,1.418,1.218,1,2
2023-09-29,Strasbourg,Lens,0.305,1.522,0,1
2023-09-30,Clermont Foot,Paris Saint Germain,1.16,2.991,0,0
2023-09-30,Monaco,Marseille,1.516,0.909,3,2
2023-10-01,Reims,Lyon,1.996,0.39,2,0
2023-10-01,Toulouse,Metz,2.34,0.599,3,0
2023-10-01,Nice,Brest,1.033,0.153,0,0
