date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-08-13,AC Milan,Udinese,2.681,0.44,4,2
2022-08-13,Sampdoria,Atalanta,0.618,2.287,0,2
2022-08-13,Monza,Torino,1.03,3.136,1,2
2022-08-13,Lecce,Inter,0.753,2.528,1,2
2022-08-14,Lazio,Bologna,0.71,1.596,2,1
2022-08-14,Fiorentina,Cremonese,2.013,1.766,3,2
2022-08-14,Spezia,Empoli,0.862,0.988,1,0
2022-08-14,Salernitana,Roma,0.505,2.983,0,1
2022-08-15,Verona,Napoli,1.131,2.798,2,5
2022-08-15,Juventus,Sassuolo,2.242,0.879,3,0
2022-08-20,Torino,Lazio,0.996,0.713,0,0
2022-08-20,Udinese,Salernitana,1.429,1.502,0,0
2022-08-20,Inter,Spezia,2.627,0.483,3,0
2022-08-20,Sassuolo,Lecce,0.803,0.704,1,0
2022-08-21,Napoli,Monza,3.264,0.121,4,0
2022-08-21,Empoli,Fiorentina,0.757,0.796,0,0
2022-08-21,Bologna,Verona,1.135,2.468,1,1
2022-08-21,Atalanta,AC Milan,0.538,1.536,1,1
2022-08-22,Roma,Cremonese,2.914,0.509,1,0
2022-08-22,Sampdoria,Juventus,0.949,0.808,0,0
2022-08-26,Monza,Udinese,0.988,2.262,1,2
2022-08-26,Lazio,Inter,0.997,1.628,3,1
2022-08-27,Juventus,Roma,0.633,0.964,1,1
2022-08-27,Cremonese,Torino,0.816,2.714,1,2
2022-08-27,AC Milan,Bologna,2.837,0.505,2,0
2022-08-27,Spezia,Sassuolo,1.175,2.839,2,2
2022-08-28,Salernitana,Sampdoria,1.765,1.669,4,0
2022-08-28,Verona,Atalanta,0.37,0.843,0,1
2022-08-28,Lecce,Empoli,0.813,0.378,1,1
2022-08-28,Fiorentina,Napoli,0.382,1.685,0,0
2022-08-30,Sassuolo,AC Milan,1.063,0.914,0,0
2022-08-30,Roma,Monza,2.671,0.561,3,0
2022-08-30,Inter,Cremonese,2.798,1.068,3,1
2022-08-31,Empoli,Verona,0.779,0.589,1,1
