date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2024-11-04,Parma Calcio 1913,Genoa,0.884,1.152,0,1
2024-11-04,Lazio,Cagliari,3.4,0.274,2,1
2024-11-07,Genoa,Como,1.039,1.374,1,1
2024-11-08,Lecce,Empoli,1.419,0.61,1,1
2024-11-09,Venezia,Parma Calcio 1913,1.296,0.945,1,2
2024-11-09,Cagliari,AC Milan,1.904,2.776,3,3
2024-11-09,Juventus,Torino,1.573,0.274,2,0
2024-11-10,Atalanta,Udinese,1.605,0.909,2,1
2024-11-10,Roma,Bologna,1.07,2.168,2,3
2024-11-10,Fiorentina,Verona,2.77,0.535,3,1
2024-11-10,Monza,Lazio,0.747,1.171,0,1
2024-11-10,Inter,Napoli,1.474,1.006,1,1
2024-11-23,Verona,Inter,0.555,2.798,0,5
2024-11-23,AC Milan,Juventus,0.306,0.811,0,0
2024-11-23,Parma Calcio 1913,Atalanta,0.622,3.544,1,3
2024-11-24,Genoa,Cagliari,2.198,2.812,2,2
2024-11-24,Como,Fiorentina,1.27,0.947,0,2
2024-11-24,Torino,Monza,1.454,0.917,1,1
2024-11-24,Napoli,Roma,2.024,0.593,1,0
2024-11-24,Lazio,Bologna,2.599,0.093,3,0
2024-11-25,Empoli,Udinese,0.167,1.093,1,1
2024-11-25,Venezia,Lecce,2.882,0.625,0,1
2024-11-29,Cagliari,Verona,2.648,0.606,1,0
2024-11-30,Como,Monza,1.386,1.756,1,1
2024-11-30,AC Milan,Empoli,2.023,0.401,3,0
2024-11-30,Bologna,Venezia,4.17,0.357,3,0
2024-12-01,Udinese,Genoa,0.156,1.717,0,2
2024-12-01,Parma Calcio 1913,Lazio,1.274,2.418,3,1
2024-12-01,Torino,Napoli,0.443,1.642,0,1
2024-12-01,Lecce,Juventus,1.104,1.04,1,1
2024-12-02,Roma,Atalanta,0.668,1.767,0,2
2024-12-06,Inter,Parma Calcio 1913,3.08,0.274,3,1
2024-12-06,Atalanta,AC Milan,2.628,0.9,2,1
2024-12-07,Genoa,Torino,0.327,0.706,0,0
2024-12-07,Juventus,Bologna,0.857,0.785,2,2
2024-12-07,Roma,Lecce,2.381,0.827,4,1
2024-12-08,Fiorentina,Cagliari,0.412,1.001,1,0
2024-12-08,Verona,Empoli,0.895,1.29,1,4
2024-12-08,Venezia,Como,0.303,0.779,2,2
2024-12-08,Napoli,Lazio,1.145,0.244,0,1
2024-12-09,Monza,Udinese,1.922,1.405,1,2
2024-12-13,Empoli,Torino,0.954,1.361,0,1
2024-12-14,Cagliari,Atalanta,1.909,2.374,0,1
2024-12-14,Udinese,Napoli,1.485,1.964,1,3
2024-12-14,Juventus,Venezia,2.19,0.587,2,2
2024-12-15,Lecce,Monza,1.578,0.79,2,1
2024-12-15,Bologna,Fiorentina,2.323,1.143,1,0
2024-12-15,Parma Calcio 1913,Verona,2.305,3.704,2,3
2024-12-15,Como,Roma,1.115,0.651,2,0
2024-12-15,AC Milan,Genoa,1.282,0.204,0,0
2024-12-16,Lazio,Inter,0.635,2.333,0,6
2024-12-20,Verona,AC Milan,0.649,1.375,0,1
2024-12-21,Torino,Bologna,0.271,1.798,0,2
2024-12-21,Genoa,Napoli,0.707,1.424,1,2
2024-12-21,Lecce,Lazio,1.091,1.95,1,2
2024-12-22,Roma,Parma Calcio 1913,5.559,0.616,5,0
2024-12-22,Venezia,Cagliari,1.553,2.625,2,1
2024-12-22,Atalanta,Empoli,2.084,1.218,3,2
2024-12-22,Monza,Juventus,0.983,2.586,1,2
2024-12-23,Fiorentina,Udinese,1.557,0.859,1,2
2024-12-23,Inter,Como,1.899,0.368,2,0
2024-12-28,Empoli,Genoa,1.427,2.017,1,2
2024-12-28,Parma Calcio 1913,Monza,1.222,2.225,2,1
2024-12-28,Cagliari,Inter,0.302,3.172,0,3
2024-12-28,Lazio,Atalanta,0.564,2.983,1,1
2024-12-29,Udinese,Torino,1.24,0.604,2,2
2024-12-29,Napoli,Venezia,2.555,0.462,1,0
2024-12-29,Juventus,Fiorentina,1.747,1.029,2,2
2024-12-29,AC Milan,Roma,2.263,1.611,1,1
2024-12-30,Como,Lecce,2.259,0.436,2,0
2024-12-30,Bologna,Verona,2.865,0.799,2,3
2025-01-04,Venezia,Empoli,0.456,1.523,1,1
2025-01-04,Fiorentina,Napoli,0.878,1.597,0,3
2025-01-04,Verona,Udinese,0.745,0.656,0,0
2025-01-05,Monza,Cagliari,1.558,0.782,1,2
2025-01-05,Lecce,Genoa,0.546,1.068,0,0
