date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2023-09-28,Frosinone,Fiorentina,0.976,1.453,1,1,0.976021,1.45269,11.722222222222221,8.35483870967742
2023-09-28,Genoa,Roma,1.598,1.296,4,1,1.59801,1.29625,35.916666666666664,6.681818181818182
2023-09-30,Lecce,Napoli,0.613,2.717,0,4,0.612649,1.95559,13.05,9.5
2023-09-30,AC Milan,Lazio,2.692,0.503,2,0,2.69178,0.502537,8.5,15.105263157894736
2023-09-30,Salernitana,Inter,0.62,2.555,0,4,0.620122,1.7941,20.57894736842105,6.842105263157895
2023-10-01,Bologna,Empoli,3.289,1.049,3,0,3.28867,1.04905,13.533333333333333,12.64
2023-10-01,Udinese,Genoa,1.531,0.833,2,2,1.53115,0.83333,7.190476190476191,10.380952380952381
2023-10-01,Atalanta,Juventus,1.977,0.203,0,0,1.97735,0.203059,12.678571428571429,21.5
2023-10-01,Roma,Frosinone,0.831,0.792,2,0,0.830718,0.791935,8.935483870967742,12.047619047619047
2023-10-02,Torino,Verona,0.618,0.274,0,0,0.617691,0.273624,11.6875,11.333333333333334
2023-10-02,Sassuolo,Monza,1.49,1.85,0,1,1.49022,1.84951,19.875,14.642857142857142
2023-10-02,Fiorentina,Cagliari,1.527,0.814,3,0,1.52678,0.81356,15.866666666666667,19.789473684210527
2023-10-06,Empoli,Udinese,1.001,1.24,0,0,1.00116,1.23968,6.318181818181818,9.782608695652174
2023-10-06,Lecce,Sassuolo,1.518,1.745,1,1,1.51817,0.983877,8.428571428571429,8.428571428571429
2023-10-07,Inter,Bologna,0.705,1.048,2,2,0.705274,0.286361,9.909090909090908,13.142857142857142
2023-10-07,Juventus,Torino,2.409,0.593,2,0,2.40906,0.592513,23.8,11.041666666666666
2023-10-07,Genoa,AC Milan,0.354,0.899,0,1,0.353901,0.898603,30.727272727272727,11.944444444444445
2023-10-08,Monza,Salernitana,3.738,1.0,3,0,2.97653,0.999628,10.625,15.695652173913043
