date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-10-16,Rennes,Lyon,1.704,1.541,3,2
2022-10-16,Troyes,Ajaccio,0.434,1.836,1,1
2022-10-16,Monaco,Clermont Foot,1.005,2.499,1,1
2022-10-16,Paris Saint Germain,Marseille,2.999,0.785,1,0
2022-10-21,Ajaccio,Paris Saint Germain,0.302,2.907,0,3
2022-10-22,Montpellier,Lyon,0.807,2.785,1,2
2022-10-22,Marseille,Lens,2.0,0.613,0,1
2022-10-23,Angers,Rennes,0.938,2.445,1,2
2022-10-23,Clermont Foot,Brest,0.703,2.73,1,3
2022-10-23,Reims,Auxerre,2.484,0.472,2,1
2022-10-23,Toulouse,Strasbourg,1.866,1.632,2,2
2022-10-23,Troyes,Lorient,1.139,1.538,2,2
2022-10-23,Nice,Nantes,1.341,1.277,1,1
2022-10-23,Lille,Monaco,2.497,1.765,4,3
2022-10-28,Lens,Toulouse,2.644,0.846,3,0
2022-10-29,Paris Saint Germain,Troyes,2.68,1.602,4,3
2022-10-29,Strasbourg,Marseille,0.891,1.939,2,2
2022-10-30,Auxerre,Ajaccio,0.926,0.5,1,0
2022-10-30,Monaco,Angers,1.94,0.437,2,0
2022-10-30,Nantes,Clermont Foot,1.952,0.714,1,1
2022-10-30,Brest,Reims,1.548,0.983,0,0
2022-10-30,Rennes,Montpellier,1.539,0.975,3,0
2022-10-30,Lorient,Nice,1.288,2.198,1,2
2022-10-30,Lyon,Lille,1.193,1.621,1,0
2022-11-04,Troyes,Auxerre,1.938,1.458,1,1
2022-11-05,Ajaccio,Strasbourg,3.687,0.67,4,2
2022-11-05,Angers,Lens,0.829,2.18,1,2
2022-11-06,Lorient,Paris Saint Germain,0.812,2.357,1,2
2022-11-06,Clermont Foot,Montpellier,3.884,1.223,1,1
2022-11-06,Nice,Brest,0.814,1.083,1,0
2022-11-06,Reims,Nantes,3.71,0.507,1,0
2022-11-06,Toulouse,Monaco,0.57,2.032,0,2
2022-11-06,Lille,Rennes,2.729,0.801,1,1
2022-11-06,Marseille,Lyon,1.073,0.632,1,0
